番号,本文
俳句112,この俳句　最強ですよ　俺の勝ち！
俳句113,その俳句　最強で/すね　おめでとう！
俳句114,いえいえ、　どういたしまして　こちらこそ
俳句115,引き分けで　手を打たないか？　打たないか？
俳句116,はい切れた おシろのブロック 全部抜く
俳句117,どの俳句？　たくさんあって　わからない
俳句118,この俳句　教えてください　頼みます
俳句119,何がとは　言わないけれど　溜まってさぁ
俳句120,そのジョウホウ　別に要らない　必要ない
俳句121,そのジョウホウ　更新してない　古いです
俳句122,そのジョウホウ　嘘ばっかりの　フェイクです
俳句123,いちにさん　順番通りに　並んだね
俳句124,たまげたなぁ　驚きすぎて　鼻毛出た
俳句125,アほたわけ ばかたれたわけ ハげたわけ
俳句126,砂糖なし　甘い見通し　メイ/ドさん
俳句127,マ/イクラに　飽きたらモッド　いれまくる
俳句128,いちにーはち にのななじょうです　覚えよう
俳句129,最新版　対応モッドを　見つけよう
俳句130,かわいいね　お前じゃないぞ　あっち向け
俳句131,おじいちゃん　昨日食べたよ　晩御飯
俳句132,父さんが　脱サラ始めた　ブイチューバー
俳句133,絶妙に　使えないよね　いらない子
俳句134,発電は　何と言おうと　原子力
俳句135,視聴者が　求めてるもの　わかるよな？
俳句136,棒読みが　死にましたよね　直してね
俳句137,この数字　逆数なら/ば　微細構造定数の近似
俳句138,落下事故　落ちカタ完璧　次もヨロ
俳句139,華麗なる　マグマダイブを　ありがとう
俳句140,惜しいです　あと一歩で　全ロスト
俳句141,その調子　すぐに飽きるぞ　ハイペース
俳句142,その調子　い/い感じで/す　マイペース
俳句143,クイズ王　これ間違えたら　やめちまえ
俳句144,アイテムを　使いすぎるな　支給品
俳句145,しっぽ切り　剥ぎ取りしてね　気を付けて
俳句146,落とし物　忘れてますよ　気を付けて
俳句147,物欲で　センサー反応　玉はなし
俳句148,物欲で　センサー反応　鱗なし
俳句149,寝なければ　実質早起き　放送だ
俳句150,この番号　決めてあるから　埋めるなよ
俳句151,パソコンが　よわよわですよ　買い換えよ
俳句152,パソコンに　せめて付けよう　GPU
俳句153,あと1回　挑戦すれば　色エレキ
俳句154,レじエれキ　色違いない　不甲斐ない
俳句155,ミストレを　思い出したら　プレイしろ
俳句156,カンこれを　思い出したら　プレイしろ
俳句157,うマむすめ　思い出したら　プレイしろ
俳句158,投げたなら　キャッチは決めろ　ブーめラン
俳句159,そのコとバ　覚えたからな　忘れない
俳句160,きょウいクの　思いがけない　使い方
俳句161,キョうイくが　オおスぎまるで　ジラいゲン
俳句162,このゲーム　得意ですよね　負けですよ
俳句163,さっきまで　自信満々　今はどう？
俳句164,もう無理だ　本間てづまり　許さない
俳句165,迷惑系　ゆーちゅーバーの　てづまりゅう
俳句166,手のひらを　ひっくり返せば　もう一周
俳句167,誉めてない　えヘヘと言ったら　許さない
俳句168,じゃんけんで　勝って優勝　ヒャクまん円
俳句169,それじゃない　俳句番号　覚えとけ
俳句170,生やしたら　両方ついて　お得です
俳句171,生やすなら　パケに書いとけ　起訴するぞ
俳句172,運吸えば　ガチャが鳴るなり　法隆寺
俳句173,運返せ　その豪運は　僕のだぞ
俳句174,僅差でも　勝ちは勝ちだろ　勝ちは勝ち
俳句175,僅差でも　負けは負けだろ　諦めろ
俳句176,テンプレに　甘えた発言　それだけか？
俳句177,そんな事　誰でも言える　考えろ
俳句178,君だけの　コとバを聞かせて　くださいな
俳句179,テンプレを　使う側から　作る側
俳句180,プルコギを　思い出したら　プレイしろ
俳句181,ふゆほどね　サムくはないけど　つらいです
俳句182,なつほどね　暑くはないけど　つらいです
俳句183,なるほどね　わからないけど　うなづくね
俳句184,コメントの　いヤよの解除　されてません
俳句185,そればっか　他の俳句も　極めてけ
俳句186,何事も　切り替えダいジ　今はオフ
俳句187,嫌なやつ　二つ足せば　めっちゃ嫌
俳句188,パソコンの　コンデンサーが爆発だ
俳句189,重いけど　コンデンサーは　大丈夫？
俳句190,そのパソコン　そろそろ寿命が　来てないか？
俳句191,ワーワーワー　ギャーギャーギャーギャー　ワーワーワー
俳句192,ウホホッホ　ウーホホホッホ　ウキッキキー
俳句193,にゃんにゃにゃん　ネコミミモード　うにゃにゃにゃん
俳句194,さぁ行くよー　SE邪魔で　使えない
俳句195,俳句とは　心の所作だ　問題ない
俳句196,俳句とは　開き直りの　美学なり
俳句197,うるさいな　関係ないのに　すぐイくな
俳句198,ワンワワーン　ワオン決済　使えない
俳句199,救急車　呼びたい時は　199
俳句200,大量の　俳句を全て　把握した
俳句201,この枠の　俳句多すぎ　把握無理
俳句202,ごめんなさい　許してください　すみません
俳句203,許します　大丈夫だよ　気にするな
俳句204,許さない　口から出まかせ　信じない
俳句205,言ったよね　何でもするって　言ったよね？
俳句206,言いました　するとは言ったが　今じゃない
俳句207,今日の分　ブログ更新　まだかなあ
俳句208,セクハラを　やめてください　訴えます
俳句209,大丈夫　迷える子羊　導くぞ
俳句210,さぁおいで　迷える子羊　ジンギスカン
俳句211,謝罪しろ　お客様は　神様です
俳句212,お静かに　他の神様　ご迷惑
俳句213, このリクを　加えたやつを　NGだ
俳句214, 誰だこの　リクエストした　馬鹿者は
俳句215, ノンジャンル　さすがに毛蟹　やりすぎだ
俳句216, 検閲が　働いてない　ガバ審査
俳句217, エレベーター　頭打ちつけ　ひき肉に
俳句218, そこ資源？　ワールドが何か　確かめYO!
俳句219, 間違えて　拠点採掘　死刑です
俳句220, サメドナツ　いいから早く　プレイしろ
俳句221, 電力が　足りてないです　核発電
俳句222, 強化しろ　お前のレベルじゃ　そこ限界
俳句223, これがない　あれも足りない　全部ない
俳句224, カオドラと　再戦希望　おい！逃げるな
俳句225, 攻撃を　上げて物理で　大破壊
俳句226, どうしたの？　金貨獲得　大チャンス
俳句227, ケイさんの　ムックルくんは　いただいた
俳句228, ムックルに　嫌われ結局　次の町
俳句229, ポケモンの　生息域を　把握しろ
俳句230, 同伴に　珍ぽけモンを　倒されて
俳句810,やリまスねぇ、いキまスいクいク、やじゅうせん
俳句1919,アーイキソ　ヌッウッハァハァ　ハァ、ハァ、ハァ、 ヌ゛ッ！ ハァ、ハァ、ハァー・・・
俳句888888,煽るなら　あはははははは　はわろっこ
俳句91EX,初見さん　いらっしゃいませ、ウワァ！オレモイッチャウウウウウウウゥゥゥ！！ウウウウウウウイイイィィィィィ……
俳句200ex,ゴーヒチゴー　俳句詠みます　調子こいてんじゃねーぞこの野郎、ホモの癖によー何がしゃぶれだーお前がしゃぶれよー巧いんだろーおらーしゃぶれよー
俳句208ex,せくぅゥうウしゃhrっッハッラハラハラスメントトを　やめてください　訴えナス
俳句231, ケイさんの　ジャイロ走行　見せてくれ
俳句232, 防御なし　気合で避けろ　赤甲羅
俳句233, 実力だ　言い訳するな　やり直し
俳句234, 運ゲーだ　努力意味なし　もうやらん
俳句235, 当たっても　当たるが悪い　ミド甲羅
俳句236, 下位落ちて　サンダー避けて　即逆転
俳句237, スター保持　使おうとして　即サンダー
俳句238, ここ打開　スターとキノコと　コインくれ
俳句239, 前逃げが　安定なんです　負け知らず
俳句240, いい調子　逆ハン切って　壁にゴン
俳句241, すぐ落ちる　押されて揉まれて　また落ちる
俳句242, はああああああああ　なんで12位　青甲羅
俳句242ex, はあああああ？？12位やぞなんで青甲羅なんや本間ウンゲーやる価値無し！w
俳句243, 男なら　有言実行　上位入り
俳句244, 被弾して　注意に落ちて　被弾して
俳句245, 大ジャンプ　方向ミスです　コース外
俳句246, アイテムの　引き運悪くて　コインだけ
俳句247,マりカーを　思い出したら　プレイしろ
俳句248,まイくラを　思い出したら　プレイしろ
俳句249,ホうソウは　久しぶりです　じゃあまたの
俳句250,この番号　とっておきのに　する予定
俳句251,空腹を　満たすためだけ　ジャブチぇンじ
疑問0,考えすぎじゃない/か？もう少しシンプルにいかない/か？
疑問1,本当にそうか？そのあたり細かく詰めていく必要ないか？
疑問2,本当にそうか？そのあたり細かく議論する必要ないか？
疑問3,ほんとうに正しいのか?俺はまだ疑っているんだが?
疑問4,それでいいんだな？本当にそれでいいんだな?
疑問5,少なくないか?もう少し増やさないか?
疑問6,多くないか?もう少し減らさないか?
疑問7,ちょうどいいんじゃなイか?もう変えなくてよくなイか?
疑問8,短くないか?もう少し伸ばさないか？
疑問9,長くないか?もう少し縮めないか?
疑問10,本当にそっちでいいのか?考え直さないか?
疑問11,何か忘れてないか?大切なことを思い出せ
疑問12,先に進まないか？まずはするべきことがないか?
疑問13,一旦戻らないか?何か忘れてないか？
疑問14,熱すぎるんじゃなイか？一旦冷まさなイか?
疑問15,冷えすぎてないか?もう少し温めていかないか?
疑問16,俺はこれでいいんだが?何か問題があるか?
疑問17,俺はするべきことをやっただけだが?何か質問あるか?
疑問18,俺はやりたいことをやっただけだが?何か質問あるか?
疑問19,俺は簡単なことをやっただけだが?何か質問あるか?
疑問20,俺はできることをやっただけだが?何か質問あるか?
疑問21,御無礼せずに終わりでいいのか?もう一度やらないか?
疑問23,休憩しないか？そろそろ疲れてきたんじゃないか？
疑問24,延長しないか?まだ放送続けていいんじゃない/か?
疑問25,本当に終わるのか?後悔しないんだろうな？
疑問26,そろそろ始めない/か?時は来てるぞ？
疑問27,別にそれぐらいどうでもよくない/か？
